400	100828	400907	400907	reply_to_discussion	christiner	1367283595	Hi Sheila4health,	0
401	100828			start_discussion	Sheila4health	1367297314	Hello Everyone - I'm just starting out in this group. I was diagnosed as pre-diabetic on March 1st. I am finding that is seems to be taking over my life, planning meals and doing research on diabetes. I don't really have anyone to talk to about this and so hope to find some support here, as well as supporting all of you. My Dad had type 1 diabetes and died at age 59 due to complications...I don't want that to happen to me...so I feel like I need to get on the right track with a good food plan. I am presently counting carbs, but still my blood sugar seems to go up and down quite a bit. Any help will be appreciated. Thanks.	0
402	108885	441933	441933	reply_to_discussion	CKarma	1373308277	Next time call the police, if he threatens to hurt you that is your only and best recourse.  I know this might mean you are told to leave, so make plans, if you weren't planning on attending school or planning on going to school and living at home, then things need to change.  This is totally unfair, but it is better to be safe and poor than to be financially taken care of and scared for your safety.	0
403	108885	442717	442717	reply_to_discussion	iamapenguin	1373410002	holy **** . that's horrible . next time , take legal action . if you're 18 then your parents have no authority over you anymore . you're an adult now under the law . if he tries anything again , call 911 . maybe you could stay with your girlfriend or other relatives for a while until you get some footing if not look into safe houses in your area . they are little , secret houses where confidential organizations can hide people suffering from domestic violence for free .	0
404	108885			start_discussion	casey95	1373410002	"The other day my girlfriend was at my house. My dad came home and some how (I still don't know) in that time he figured out we were dating. He immediately sent me a text like ""now I get why you're always locked in your room with that girl"". I ignored it. Once she left, he began banging on my door screaming and saying the meanest things and threats. My room is in a seperate little in-law set-up. So you have to open the main door to get into the house, but then there is a bedroom, bathroom that are connected and all have doors. Eventually I went into the office, behind another locked door, so I didn't have to hear him. I was quietly on the phone with my girlfriend crying and extremely terrified. Eventually he BROKE down the door. And was in the main area. I was freaking out. My girlfriend almost called the police because she was so scared he was going to hurt me. I'm 18, but there is no way I can leave my house at this point. I'm so scared of being home alone with him now and I can't even have my girlfriend over anymore. Does anyone have any experience with this or advise?"	0
405	110183	447547	447547	reply_to_discussion	CKarma	1374171820	No, but now I am curious.  Ok, so I looked it up and according to the web, Blue is slang for Crack Cocaine, depressants and OxyContin.	0
406	110183	447575	447575	reply_to_discussion	Gegee	1374174567	I found another description that may help as well.	0
407	110183	451762	451762	reply_to_discussion	gre8tguy63	1374751345	You can rule out oxy's because they are Green,,,	0
408	110183	454211	454211	reply_to_discussion	MrNafta	1375059266	This is actually a loaded question.  There is a big difference between blues and reds in the 60's and 70's, and blues today.  Reds were seconal, and blues were oxymorphone.	0
409	110183	454626	454626	reply_to_discussion	Tanne	1375126039	It could be a Xanax they are blue and I've heard of people calling them blues	0
410	110183	459466	459466	reply_to_discussion	A_of_G	1375731863	Where I am from, blues are xanax. Different from the bar. A bar is 2 mg. A blue is 1 mg, so much more common.	0
411	110183			start_discussion	simonew	1375731863	"Does anyone out there know what a ""blue"" is?"	0
412	117102	479922	479922	reply_to_discussion	teacherspet	1379768513	Dear Eaj, Your words are comforting and so eloquent. Would love to read your book. I too, look forward to my dreams. Sandy	0
